編號,學名,中文名,中文別名,英文名,英文別名,科,習性
709,Eranthemum nervosum,可愛花,藍花仔,Blue_Eranthemum,NoInfo,ACANTHACEAE爵床科,灌木
729,Uvaria macrophylla,紫玉盤,沒資料,Uvaria,NoInfo,ANNONACEAE番荔枝科,灌木
732,Allamanda cathartica,軟枝黃蟬,沒資料,Allamanda,Common_Allamanda,APOCYNACEAE夾竹桃科,灌木
738,Thevetia peruviana,黃花夾竹桃,沒資料,Yellow_Oleander,NoInfo,APOCYNACEAE夾竹桃科,灌木
739,Catharanthus roseus,長春花,沒資料,Periwinkle,Rose_Periwinkle,APOCYNACEAE夾竹桃科,灌木
742,Allamanda schottii,黃蟬,硬枝黃蟬,Small_Allamanda,Oleander_Allamanda,APOCYNACEAE夾竹桃科,灌木
797,Caesalpinia pulcherrima,洋金鳳,金鳳花,Parado_Spride,Dwarf_Poinciana,CAESALPINIACEAE蘇木科,灌木
804,Mimosa pudica L.,含羞草,沒資料,Sensitive Plant,NoInfo,MIMOSACEAE含羞草科,草本
835,Quisqualis indica,使君子,留球子_史君子,Rangoon_Creeper,NoInfo,COMBRETACEAE使君子科,灌木
851,Rhododendron pulchrum,錦繡杜鵑,沒資料,Lovely Azalea,Beautiful_Azalea,ERICACEAE杜鵑花科,灌木
858,Enkianthus quinqueflorus,吊鐘,沒資料,Chinese New Year Flower,NoInfo,ERICACEAE杜鵑花科,灌木
860,Rhododendron simsii Planch.,紅杜鵑_映山紅,沒資料,Red Azalea,Sim,ERICACEAE杜鵑花科,灌木
878,Acalypha hispida,紅穗鐵莧菜,狗尾紅,Redhot_Cat-tail,Redspicate_Acalypha,EUPHORBIACEAE大戟科,灌木
881,Euphorbia pulcherrima,一品紅_聖誕樹,沒資料,Poinsettia,Common_Poinsettia,EUPHORBIACEAE大戟科,灌木
901,Tetracera asiatica (Lour.) Hoogland,錫葉藤,沒資料,Sandpaper Vine,NoInfo,DILLENIACEAE第倫桃科_五椏果科,木質藤本
946,Millettia nitida,亮葉崖豆藤_亮葉雞血藤,沒資料,Glittering-leaved Millettia,NoInfo,FABACEAE蝶形花科,攀援灌木
961,Scaevola taccada,草海桐,沒資料,Beach_Naupaka,NoInfo,GOODENIACEAE草海桐科,灌木
